label,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,NEC,NEC,NEC,NEC,NEC,NEC
name,PCE_101_GAERS_590_Cortex,PCE_102_GAERS_628_Cortex,PCE_103_GAERS_614_Cortex,PCE_104_GAERS_629_Cortex,PCE_105_GAERS_630_Cortex,PCE_106_GAERS_602_Cortex,PCE_128_GAERS_625_Cortex,PCE_130_GAERS_601_Cortex,PCE_107_NEC_601_Cortex,PCE_108_NEC_687_Cortex,PCE_109_NEC_602_Cortex,PCE_110_NEC_603_Cortex,PCE_111_NEC_688_Cortex,PCE_112_NEC_604_Cortex
C3H5NO2,189945,186641,211104,181868,182753,209809,181062,187611,206799,219455,210219,215911,175802,203732
C2H2O4,172533,153380,171522,182747,158926,174866,189855,197781,183963,178072,200402,190913,171152,194205
H3O4P,509705,802477,789951,803527,773832,820801,834690,160706,1210954,1248295,509962,557922,645151,979669
C4H4O3,286167,239424,332699,323888,408193,255987,206656,228895,216183,136367,239679,110343,224870,180803
C3H4N2O2,271908,298038,321751,341651,294385,368024,276677,323451,301231,219258,332571,247905,205946,336036
C4H10N2O,406044,389519,599751,608882,485051,374776,290529,624671,461481,592206,554285,579877,577421,568427
C3H5NO3,89366,97582,112785,104081,102288,99873,83945,87405,101352,101688,91144,84243,98997,93077
C2H4N2O3,136361,146117,96936,130849,102434,116256,117686,122161,99365,156790,87826,91569,111960,143824
C4H4N2O2,7689208,7765837,6832678,6512846,6317035,6219956,6269755,7603733,5776841,7193664,5297597,5262551,4486925,7372737
C4H2O4,457065,463118,469281,432209,390526,388895,465958,359837,435188,372700,459271,482534,355768,425109
C4H6N2O2,314327,551622,634164,244788,372969,342068,314860,369902,432391,577634,589786,564490,620045,518345
C4H8N2O2,462274,499826,519926,527317,571727,547589,449171,518072,512744,469054,502540,469208,534391,496118
C6H15NO,2013088,2560913,1740605,2515279,3118723,1773045,1751967,1756335,2785934,2388869,3023018,3036676,2973893,2879873
C5H10O3,1122489,724319,939886,808848,715471,629911,794968,718002,550961,696585,514236,402785,436094,674578
C6H11N3,159642,186235,138800,195707,185176,241612,156836,189754,173941,176336,175746,174888,151291,179392
C5H5NO3,133937,100555,122636,112072,135927,135709,102849,83550,165484,134403,117856,148570,114845,104938
C5H11N3O,239680,244838,272884,295546,288577,277951,227325,241105,248024,247941,380445,242935,238936,259160
C5H11N3O - 1A,138698,157549,136852,179829,223411,173427,139482,164636,183647,187004,165057,166981,163893,174007
C6H10O3,882090,734206,948511,1467873,1410795,2217174,1216069,1045824,1412171,518439,750796,1333089,1279342,999172
C4H5NO4,369208,357976,360950,339408,380513,389850,320884,329337,348495,333826,351312,376373,329123,352583
C4H9N3O2,49005328,14693157,9224958,10264852,10079958,10843983,10214213,12582704,10082480,12007529,9004495,7856766,9868241,10992983
C5H12N2O2,99859,119178,78057,98190,95981,84987,97344,98385,107250,130059,82686,99929,89520,115005
C4H10N2O3,87054,100950,109119,86801,114908,93965,99006,102528,89072,105878,120262,86643,92163,99874
C5H4N4O,91754920,57369964,53321368,40872688,54260668,37330752,47134032,78391024,73906416,65677800,45813360,48006604,31031566,54979808
C7H8N2O,747358,869858,575424,575610,610345,544836,654114,670490,472731,557298,281458,393363,508133,606696
C6H6N2O2,85715,127239,97823,77246,102509,77794,1089045,147926,109249,172025,76666,293167,66468,89830
C6H11N3O,437867,422132,400235,525871,511121,470958,442194,479734,464825,469440,671176,495828,445348,481984
C6H13NO3,175729,208504,184589,154341,177010,160675,199056,187523,136594,161524,92241,104483,133411,153303
C6H13NO3 - 1A,89702,113658,136499,400722,245821,134736,181036,245686,453389,71473,496614,359714,327045,454644
C6H9N3O2,247543,294140,285180,302498,303722,315143,280989,263136,276644,298189,256743,298519,253449,297293
C6H8N2O3,432542,399763,629282,374059,371897,392752,335237,400815,180469,238661,189975,153533,205187,263031
C5H7N3O3,208536,230866,224635,225139,247474,240695,200024,240843,249084,230955,223870,243959,198761,244520
C8H14O3,434650,499921,428419,1308228,417870,567995,772485,465985,1401265,748898,1140509,1602880,933049,1235395
C8H16O3,234691,248886,179159,449462,238943,182727,307690,187529,312826,132322,272920,274262,258333,289340
C5H8O6,217148,187842,109547,200634,104851,117290,163103,101047,144585,134679,77453,88717,136016,190514
C6H12O4,54741,48123,42277,35147,55379,35025,101413,64947,67128,30646,136104,116356,44586,46266
C7H8N2O3,192562,201998,218770,228429,203284,205889,208179,216963,186263,224318,200908,194822,164778,208220
C10H18O2,733486,905885,510357,2482812,1094993,982468,2098124,890878,2137077,1184544,1966446,2421699,3103672,1840512
C6H9N3O3,136031,191293,198178,147269,231535,180665,213786,175422,177906,183481,236774,210730,183406,159985
C5H10O5,367210,278817,348634,249285,274402,249262,257239,410390,336675,275889,264296,254029,148999,289231
C8H12O4,318174,278377,464857,379441,323934,343196,351717,356973,411236,408059,505517,419060,381943,407765
C11H22O2,2547073,2146986,1936778,7186067,3625473,2826573,5130500,2659060,6961804,2162594,5534320,5829313,7394302,4767697
C6H10N2O5,112779,135817,89215,115369,122780,92817,88558,93056,102297,157738,72318,67725,83204,114292
C8H15NO3,197425,162274,128649,162300,159332,134307,142648,145055,181236,203992,114945,136403,152538,203154
C12H22O2,270167,171995,155695,916701,325385,616773,617526,250506,1023582,244103,646700,815670,962696,993828
C6H12O6,1144622,2527552,1061510,1043802,995631,1184613,1178383,957725,1001826,1376114,1024813,1368108,1445534,1458522
C8H13NO5,805612,620331,584614,567190,544537,518447,731635,798997,540757,624296,450470,410847,447320,584475
C6H8O7,134154,164468,100080,167301,157002,135529,145498,139020,133688,138461,100842,94439,131785,120803
C6H6O6,3532636,3227608,2640921,2827882,2731621,2829156,3026620,3357935,2272846,3000318,1777592,2401027,2986584,2812638
C10H16O2,62215,45071,38573,58614,67489,55020,96331,28876,90247,39712,61011,79963,121358,47283
C8H17NO6,394770,337279,257107,287522,310812,223762,289999,337288,377205,415890,240007,258079,259287,394790
C6H8O7 - 1A,10297530,9898039,8020416,8261364,9365520,10340873,9744219,9386012,8814845,11311238,7939309,5750951,6931526,9540799
C13H26O2,472303,436606,449558,430278,453710,449113,412143,437666,422965,429542,435393,431997,419169,407392
C12H20N2O3,2133232,1960607,1556199,1843224,1607252,1626061,1668275,1766949,1417308,2130676,1126366,1365716,1528274,1925156
C13H25NO3,1625433,1711504,1323810,1061633,1332016,1003640,3662250,2809801,1895555,713266,1031094,2539588,1395881,1453134
C21H36N7O16P3S,2998017,5011577,1698032,4540684,5477600,5444033,4030379,2528713,3389435,2968670,2530570,2629141,3124243,4929454
C9H13NO7,754464,801258,692312,798832,611061,628966,974360,714442,698499,879150,668881,507370,561761,766092
C6H14NO8P,187763,341337,189969,311151,500168,369729,361005,223987,269474,497863,187974,173309,273862,346680
C10H17N3O6S,61663140,68693064,50386524,59471276,68733360,58795872,60254640,57638984,57766392,67694720,51883152,52011120,51388636,67305288
